Customer ID,Age,401K Savings,Retire
0,39.1804173,322349.874,0
1,56.10168602,768671.574,1
2,57.02304267,821505.4718,1
3,43.7113581,494187.485,0
4,54.7288232,691435.7723,1
5,50.49978906,742398.9068,1
6,39.57330215,578650.3156,0
7,55.15930866,533821.2011,1
8,30.79127144,459592.4084,0
9,40.45607284,396800.2509,0
10,33.89119742,272808.2719,0
11,42.75441623,377042.2458,0
12,44.22498015,482773.2236,0
13,47.49906452,628103.6779,1
14,62.86241076,771170.2845,1
15,56.33143578,531736.7418,1
16,43.166995,475505.7604,0
17,63.78554392,669249.9707,1
18,45.79040076,488283.9962,0
19,49.07073084,666179.0339,1
20,44.92907697,667652.0741,1
21,48.33793838,576300.1321,0
22,51.29104411,584324.0787,1
23,47.07378615,676035.7231,1
24,47.75975853,538416.345,0
25,49.69269832,727503.2761,1
26,38.04041425,382831.3702,0
27,48.02129407,759955.47,1
28,34.859999,349137.7072,0
29,40.40353744,439074.5217,0
30,36.78089948,554553.8241,0
31,59.90527002,807629.8529,1
32,44.95589059,516350.1746,0
33,38.36917035,398136.0451,0
34,49.54511899,643383.041,1
35,56.01957636,571676.5347,1
36,41.8780628,315547.0007,0
37,62.13589916,980549.6557,1
38,44.64945529,680388.386,0
39,50.56932504,627554.7898,1
40,56.36539484,627005.391,1
41,45.50002324,196467.1203,0
42,48.50577452,563618.3108,1
43,35.35829399,209517.7789,0
44,41.77437172,626096.8137,0
45,50.7543325,757720.6352,1
46,45.18928673,536044.0008,1
47,49.89038753,425910.5239,1
48,37.16787893,253541.2771,0
49,31.82608124,515111.8844,0
50,54.38396401,618691.7942,1
51,33.97911459,241484.3882,0
52,53.52850527,728048.8049,1
53,36.82732493,273853.068,0
54,39.88142559,469424.3267,0
55,48.50098668,921090.6832,1
56,46.26199557,652617.5498,1
57,55.84572879,638240.6584,1
58,34.32977411,185122.8014,0
59,48.31114746,603815.8399,1
60,45.9680506,611701.6843,1
61,45.0775959,1000000,1
62,43.31696758,642782.0721,1
63,53.30908583,694581.3271,1
64,56.00797848,850704.5884,1
65,45.87782403,260743.9792,0
66,48.11538482,225344.0251,0
67,53.15478727,555506.7014,1
68,44.87011289,416277.2617,0
69,48.21216353,476088.3201,0
70,47.13213155,378097.4421,0
71,45.88397,289943.7487,0
72,46.68268422,576264.677,1
73,33.88856508,233910.2596,0
74,44.68663228,642583.8666,1
75,37.10957435,345188.8365,0
76,38.16407983,384149.3212,0
77,35.81529349,487268.7573,0
78,58.58460436,575573.2399,1
79,42.14745522,569398.8332,0
80,41.18992202,368829.6604,0
81,49.82456244,459515.9887,0
82,50.16425534,525315.9373,1
83,44.96469971,683012.7371,1
84,51.06897367,593965.1575,1
85,56.8671791,615416.1528,1
86,43.97526228,781781.6431,1
87,55.95744866,644913.8632,1
88,48.73436913,567627.072,1
89,42.38130656,271869.4816,0
90,52.7419516,629188.309,1
91,42.81927143,274640.3377,0
92,47.78899353,623343.264,1
93,53.594092,730218.5234,1
94,37.50623845,468875.0301,0
95,53.66492565,707056.1639,1
96,31.8411755,445320.9921,0
97,56.03923429,666309.4707,1
98,36.65609037,424137.6661,0
99,43.63337357,443370.8054,0
100,55.38357522,424025.5595,0
101,43.72189134,342121.5681,0
102,54.31929628,844374.2809,1
103,45.09664485,262694.238,0
104,31.64564979,252237.7381,0
105,53.9856799,491405.8384,1
106,35.83854432,414992.9376,0
107,48.59066129,700156.038,1
108,43.46303185,597862.0295,1
109,39.97951619,348249.4573,0
110,45.76307352,467124.9274,1
111,46.76393584,787631.9935,1
112,47.5119936,581095.162,1
113,31.31727245,317031.6362,0
114,41.2958843,569371.8531,0
115,43.99018193,726521.8951,1
116,62.10634627,695583.4364,1
117,51.05188552,563446.8177,0
118,44.71819867,576927.9406,1
119,61.0861632,411502.1423,1
120,38.19270604,638074.5123,0
121,48.82103989,294620.1684,0
122,43.78389403,355078.4941,0
123,54.46622331,648110.7947,1
124,57.99863443,628791.9493,1
125,39.72998509,226999.0065,0
126,41.3121399,631961.2479,1
127,57.46359287,703725.737,1
128,54.0916007,588386.713,1
129,49.24191049,531401.4484,0
130,45.38374421,625618.7841,1
131,40.80584211,161499.2806,0
132,48.66163776,681515.8701,1
133,41.50123081,377361.8954,0
134,37.80702852,318647.3061,0
135,47.36640649,519724.0607,0
136,43.41997905,213386.7354,0
137,38.29622452,521486.9754,0
138,37.69529878,305052.1852,0
139,44.28250424,363802.7142,0
140,41.71731163,670715.9904,0
141,52.36123377,430746.4347,0
142,47.43998259,314624.322,0
143,41.68228401,193751.4204,0
144,50.36074182,433798.3859,0
145,55.99272293,604178.6015,1
146,53.08372552,712212.2238,1
147,52.80881439,974839.8012,1
148,56.21461457,683098.8289,1
149,55.055689,723698.9404,1
150,36.25736932,472946.9313,0
151,43.50602301,335613.8238,0
152,46.15014049,260271.6642,0
153,47.90713295,724481.8171,1
154,50.72952844,823841.4444,1
155,48.33702407,375203.9904,0
156,50.64455587,624052.6926,1
157,50.39631855,787807.9924,1
158,43.99213617,755527.2073,1
159,57.24616004,769459.1501,1
160,45.29951673,287992.9298,0
